X,Y,|u|,ux,uy,Status,elastic_strain_xx,elastic_strain_yy,elastic_strain_zz,elastic_strain_xy,plastic_strain_xx,plastic_strain_yy,plastic_strain_zz,plastic_strain_xy,Mises,Stress_xx,Stress_yy,Stress_zz,Stress_xy,strain_xx,strain_yy,strain_xy
2.88,0,0,3.88E-38,-2.38E-37,0,-1.17E-05,-0.00122943,0,0.00222049,0,0,0,0,26.2995,-10.8764,-24.9267,-10.7409,12.8105,-1.17E-05,-0.00122943,2.22E-03
2.92,0,0,3.93E-38,-2.33E-37,0,-1.24E-05,-0.00120658,0,0.00219395,0,0,0,0,25.9324,-10.6911,-24.4706,-10.5485,12.6574,-1.24E-05,-0.00120658,2.19E-03
2.96,0,0,3.97E-38,-2.27E-37,0,-1.30E-05,-0.00118407,0,0.00216623,0,0,0,0,25.5578,-10.5084,-24.0212,-10.3589,12.4975,-1.30E-05,-0.00118407,2.17E-03
3,0,0,3.99E-38,-2.22E-37,0,-1.35E-05,-0.00116191,0,0.00213739,0,0,0,0,25.1761,-10.3284,-23.5788,-10.1721,12.3311,-1.35E-05,-0.00116191,2.14E-03
3.04,0,0,3.99E-38,-2.16E-37,0,-1.41E-05,-0.00114012,0,0.00210747,0,0,0,0,24.7878,-10.151,-23.1436,-9.98839,12.1585,-1.41E-05,-0.00114012,2.11E-03
3.08,0,0,3.97E-38,-2.12E-37,0,-1.46E-05,-0.00111871,0,0.00207652,0,0,0,0,24.3931,-9.97649,-22.7159,-9.80771,11.9799,-1.46E-05,-0.00111871,2.08E-03
3.12,0,0,3.94E-38,-2.07E-37,0,-1.51E-05,-0.00109768,0,0.00204457,0,0,0,0,23.9926,-9.8049,-22.2958,-9.6302,11.7956,-1.51E-05,-0.00109768,2.04E-03
3.16,0,0,3.89E-38,-2.03E-37,0,-1.56E-05,-0.00107705,0,0.00201168,0,0,0,0,23.5865,-9.63629,-21.8835,-9.45592,11.6058,-1.56E-05,-0.00107705,2.01E-03
3.2,0,0,3.82E-38,-1.99E-37,0,-1.61E-05,-0.00105683,0,0.00197788,0,0,0,0,23.1752,-9.47077,-21.4791,-9.28497,11.4109,-1.61E-05,-0.00105683,1.98E-03
3.24,0,0,3.74E-38,-1.95E-37,0,-1.66E-05,-0.00103701,0,0.00194323,0,0,0,0,22.7591,-9.30839,-21.0829,-9.11739,11.2109,-1.66E-05,-0.00103701,1.94E-03
3.28,0,0,3.64E-38,-1.91E-37,0,-1.70E-05,-0.00101761,0,0.00190775,0,0,0,0,22.3387,-9.14924,-20.6949,-8.95325,11.0062,-1.70E-05,-0.00101761,1.91E-03
3.32,0,0,3.53E-38,-1.88E-37,0,-1.74E-05,-0.000998638,0,0.00187148,0,0,0,0,21.9141,-8.99335,-20.3154,-8.79261,10.797,-1.74E-05,-0.000998638,1.87E-03
3.36,0,0,3.40E-38,-1.85E-37,0,-1.78E-05,-0.000980092,0,0.00183448,0,0,0,0,21.4859,-8.8408,-19.9443,-8.63552,10.5835,-1.78E-05,-0.000980092,1.83E-03
3.4,0,0,3.26E-38,-1.82E-37,0,-1.82E-05,-0.000961978,0,0.00179677,0,0,0,0,21.0542,-8.69162,-19.5818,-8.48202,10.366,-1.82E-05,-0.000961978,1.80E-03
3.44,0,0,3.10E-38,-1.80E-37,0,-1.85E-05,-0.000944303,0,0.00175838,0,0,0,0,20.6196,-8.54588,-19.2279,-8.33215,10.1445,-1.85E-05,-0.000944303,1.76E-03
3.48,0,0,2.93E-38,-1.78E-37,0,-1.89E-05,-0.000927068,0,0.00171936,0,0,0,0,20.1823,-8.40361,-18.8829,-8.18595,9.91939,-1.89E-05,-0.000927068,1.72E-03
3.52,0,0,2.74E-38,-1.76E-37,0,-1.92E-05,-0.000910277,0,0.00167974,0,0,0,0,19.7427,-8.26485,-18.5466,-8.04345,9.6908,-1.92E-05,-0.000910277,1.68E-03
3.56,0,0,2.54E-38,-1.74E-37,0,-1.95E-05,-0.000893934,0,0.00163954,0,0,0,0,19.3012,-8.12963,-18.2193,-7.90468,9.45891,-1.95E-05,-0.000893934,1.64E-03
3.6,0,0,2.33E-38,-1.72E-37,0,-1.98E-05,-0.00087804,0,0.00159881,0,0,0,0,18.858,-7.99798,-17.9009,-7.76966,9.22391,-1.98E-05,-0.00087804,1.60E-03
3.64,0,0,2.11E-38,-1.71E-37,0,-2.01E-05,-0.000862597,0,0.00155757,0,0,0,0,18.4135,-7.86994,-17.5915,-7.63842,8.98597,-2.01E-05,-0.000862597,1.56E-03
3.68,0,0,1.87E-38,-1.70E-37,0,-2.03E-05,-0.000847607,0,0.00151585,0,0,0,0,17.9681,-7.74553,-17.2911,-7.51097,8.74527,-2.03E-05,-0.000847607,1.52E-03
3.72,0,0,1.62E-38,-1.69E-37,0,-2.06E-05,-0.000833071,0,0.00147367,0,0,0,0,17.5221,-7.62476,-16.9997,-7.38734,8.50194,-2.06E-05,-0.000833071,1.47E-03
3.76,0,0,1.35E-38,-1.69E-37,0,-2.08E-05,-0.000818991,0,0.00143107,0,0,0,0,17.0758,-7.50766,-16.7174,-7.26752,8.25617,-2.08E-05,-0.000818991,1.43E-03
3.8,0,0,1.08E-38,-1.68E-37,0,-0.000021034,-0.000805366,0,0.00138807,0,0,0,0,16.6297,-7.39424,-16.4442,-7.15154,8.00808,-2.10E-05,-0.000805366,1.39E-03
3.84,0,0,7.95E-39,-1.68E-37,0,-2.12E-05,-0.000792197,0,0.00134469,0,0,0,0,16.1842,-7.28451,-16.1801,-7.03939,7.75782,-2.12E-05,-0.000792197,1.34E-03
3.88,0,0,4.98E-39,-1.68E-37,0,-2.14E-05,-0.000779485,0,0.00130096,0,0,0,0,15.7395,-7.1785,-15.9252,-6.9311,7.50552,-2.14E-05,-0.000779485,1.30E-03
3.92,0,0,1.89E-39,-1.68E-37,0,-2.16E-05,-0.000767229,0,0.0012569,0,0,0,0,15.2961,-7.0762,-15.6793,-6.82665,7.25132,-2.16E-05,-0.000767229,1.26E-03
3.96,0,0,-1.30E-39,-1.69E-37,0,-2.18E-05,-0.00075543,0,0.00121252,0,0,0,0,14.8545,-6.97763,-15.4426,-6.72605,6.99533,-2.18E-05,-0.00075543,1.21E-03
4,0,0,-4.60E-39,-1.70E-37,0,-2.20E-05,-0.000744086,0,0.00116786,0,0,0,0,14.4151,-6.88279,-15.2149,-6.62931,6.73767,-2.20E-05,-0.000744086,1.17E-03
4.04,0,0,-8.01E-39,-1.71E-37,0,-2.21E-05,-0.000733198,0,0.00112293,0,0,0,0,13.9784,-6.79168,-14.9964,-6.53643,6.47845,-2.21E-05,-0.000733198,1.12E-03
